Volatility 3 Framework 2.21.0

Offset	Name

0x850bade89a20	\$Directory
0x850bae452500	\Windows\System32\drivers\null.sys
0x850bae4527e0	\Windows\System32\drivers\vmrawdsk.sys
0x850bae452950	\$Directory
0x850bae452da0	\Windows\System32\drivers\watchdog.sys
0x850bae453080	\ProgramData\VMware\RawdskCompatibility\vmrawdsk.log
0x850bae453360	\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_d3f5994a67770b50\BasicRender.sys
0x850bae4534d0	\$Directory
0x850bae453640	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package0516~31bf3856ad364e35~amd64~~10.0.19041.5371.cat
0x850bae453920	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package0517~31bf3856ad364e35~amd64~~10.0.19041.5369.cat
0x850bae453c00	\Windows\System32\drivers\beep.sys
0x850bae453d70	\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_19e58b6267591a82\BasicDisplay.sys
0x850bae453ee0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-User-Choice-Protection-Package~31bf3856ad364e35~amd64~~10.0.19041.3758.cat
0x850bae454330	\Windows\System32\drivers\npfs.sys
0x850bae454bd0	\Windows\System32\drivers\dxgkrnl.sys
0x850bae454d40	\Windows\System32\drivers\msfs.sys
0x850bae455300	\Windows\System32\drivers\tdx.sys
0x850bae455470	\Windows\System32\drivers\tdi.sys
0x850bae4558c0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-OneCore-Containers-merged-Package~31bf3856ad364e35~amd64~~10.0.19041.3636.cat
0x850bae455ba0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package05110~31bf3856ad364e35~amd64~~10.0.19041.5369.cat
0x850bae455d10	\Windows\System32\drivers\ws2ifsl.sys
0x850bae455e80	\Windows\System32\drivers\cimfs.sys
0x850bae4820c0	\Windows\System32\msctf.dll
0x850bae482250	\Windows\System32\rpcrt4.dll
0x850bae482700	\ProtectedPrefix\NetWorkService
0x850bae482a20	\Windows\System32\psapi.dll
0x850bae482d40	\Windows\System32\shell32.dll
0x850bae482ed0	\Windows\System32\coml2.dll
0x850bae4831f0	\Windows\System32\setupapi.dll
0x850bae483380	\Windows\System32\GdiPlus.dll
0x850bae4836a0	\Windows\System32\wow64win.dll
0x850bae483830	\Windows
0x850bae483ce0	\Windows\System32\SHCore.dll
0x850bae483e70	\Windows\System32\imm32.dll
0x850bae894a80	\$Mft::$BITMAP
0x850bae894ed0	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x850baecef210	\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA
0x850baecef380	\$Extend\$RmMetadata\$Repair:$Verify:$DATA
0x850baecef4f0	\$Extend\$UsnJrnl:$J:$DATA
0x850baecef660	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0x850baecef940	\$Mft
0x850baecefab0	\$BitMap
0x850baecefd90	\$LogFile
0x850baecf0070	\Windows\System32\ntdll.dll
0x850baecf01e0	\$Secure:$SII:$INDEX_ALLOCATION
0x850baecf0630	\$Extend:$I30:$INDEX_ALLOCATION
0x850baecf07a0	\$Secure:$SDS:$DATA
0x850baecf0a80	\$Extend\$RmMetadata\$Repair
0x850baecf0bf0	\$MftMirr
0x850baecf0d60	\:$I30:$INDEX_ALLOCATION
0x850baecf80a0	\$Directory
0x850baecf8210	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0x850baecf8380	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA
0x850baecf87d0	TxfLog
0x850baecf8940	\$Extend\$RmMetadata\$TxfLog\$Tops
0x850baecf8ab0	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x850baecf8c20	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x850baecf9070	\$Directory
0x850baecf9350	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
0x850baecf94c0	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
