Volatility 3 Framework 2.21.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0x850baed6e050	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2476	spoolsv.exe	2025-01-27 09:06:39.000000 UTC
0x850baed6e730	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1504	svchost.exe	2025-01-27 09:06:37.000000 UTC
0x850baed6f0d0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	836	lsass.exe	2025-01-27 09:06:36.000000 UTC
0x850baed6f0d0	TCPv6	::	49664	::	0	LISTENING	836	lsass.exe	2025-01-27 09:06:36.000000 UTC
0x850baed6f4f0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	592	svchost.exe	2025-01-27 09:06:36.000000 UTC
0x850baed6f4f0	TCPv6	::	135	::	0	LISTENING	592	svchost.exe	2025-01-27 09:06:36.000000 UTC
0x850baed6f650	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	708	wininit.exe	2025-01-27 09:06:36.000000 UTC
0x850baed6f650	TCPv6	::	49665	::	0	LISTENING	708	wininit.exe	2025-01-27 09:06:36.000000 UTC
0x850baed6f7b0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	836	lsass.exe	2025-01-27 09:06:36.000000 UTC
0x850baed6f910	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	592	svchost.exe	2025-01-27 09:06:36.000000 UTC
0x850baed6fa70	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	708	wininit.exe	2025-01-27 09:06:36.000000 UTC
0x850baed6fbd0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1504	svchost.exe	2025-01-27 09:06:37.000000 UTC
0x850baed6fbd0	TCPv6	::	49666	::	0	LISTENING	1504	svchost.exe	2025-01-27 09:06:37.000000 UTC
0x850baed6fd30	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1836	svchost.exe	2025-01-27 09:06:38.000000 UTC
0x850baed6fe90	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1836	svchost.exe	2025-01-27 09:06:38.000000 UTC
0x850baed6fe90	TCPv6	::	49667	::	0	LISTENING	1836	svchost.exe	2025-01-27 09:06:38.000000 UTC
0x850bb26e9a00	UDPv6	fe80::f71e:dbfa:6ae0:b79	546	*	0		1584	svchost.exe	2025-01-27 09:06:37.000000 UTC
0x850bb29f4310	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2476	spoolsv.exe	2025-01-27 09:06:39.000000 UTC
0x850bb29f4310	TCPv6	::	49668	::	0	LISTENING	2476	spoolsv.exe	2025-01-27 09:06:39.000000 UTC
