Volatility 3 Framework 2.21.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0x850bade61040	165	-	N/A	False	2025-01-27 09:06:34.000000 UTC	N/A	-	-	-
* 72	4	Registry	0x850badea1080	4	-	N/A	False	2025-01-27 09:06:30.000000 UTC	N/A	Registry	-	-
* 528	4	smss.exe	0x850baee6c040	2	-	N/A	False	2025-01-27 09:06:34.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
* 1904	4	MemCompression	0x850badf91040	46	-	N/A	False	2025-01-27 09:06:37.000000 UTC	N/A	MemCompression	-	-
640	628	csrss.exe	0x850baed4a080	10	-	0	False	2025-01-27 09:06:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
708	628	wininit.exe	0x850bb1b6d080	1	-	0	False	2025-01-27 09:06:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wininit.exe	wininit.exe	C:\Windows\system32\wininit.exe
* 932	708	fontdrvhost.ex	0x850bb1d10140	5	-	0	False	2025-01-27 09:06:36.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\fontdrvhost.exe	"fontdrvhost.exe"	C:\Windows\system32\fontdrvhost.exe
* 828	708	services.exe	0x850bb1c82080	7	-	0	False	2025-01-27 09:06:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\services.exe	C:\Windows\system32\services.exe	C:\Windows\system32\services.exe
** 1544	828	svchost.exe	0x850bb26282c0	4	-	0	False	2025-01-27 09:06:37.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s nsi	C:\Windows\system32\svchost.exe
** 5640	828	svchost.exe	0x850bb37c1080	22	-	0	False	2025-01-27 09:06:49.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv	C:\Windows\system32\svchost.exe
** 4112	828	dllhost.exe	0x850bb30be280	20	-	0	False	2025-01-27 09:06:42.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\dllhost.exe	C:\Windows\system32\dllhost.exe /Processid:{FD0471C7-BF0B-4B7E-AA00-688BA19ED2D2}	C:\Windows\system32\dllhost.exe
** 2068	828	svchost.exe	0x850bb2828300	10	-	0	False	2025-01-27 09:06:38.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache	C:\Windows\system32\svchost.exe
** 2076	828	svchost.exe	0x850bb2829080	5	-	0	False	2025-01-27 09:06:38.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p	C:\Windows\System32\svchost.exe
** 1568	828	svchost.exe	0x850bb2630280	3	-	0	False	2025-01-27 09:06:37.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DeviceAssociationService	C:\Windows\system32\svchost.exe
** 2084	828	svchost.exe	0x850bb282f240	10	-	0	False	2025-01-27 09:06:38.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager	C:\Windows\system32\svchost.exe
*** 2584	2084	sihost.exe	0x850bb2a41280	14	-	1	False	2025-01-27 09:06:39.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\sihost.exe	sihost.exe	C:\Windows\system32\sihost.exe
**** 588	2584	CalculatorApp.	0x850bb4b0d080	21	-	1	False	2025-01-27 09:07:54.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2411.1.0_x64__8wekyb3d8bbwe\CalculatorApp.exe	"C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2411.1.0_x64__8wekyb3d8bbwe\CalculatorApp.exe" 	C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2411.1.0_x64__8wekyb3d8bbwe\CalculatorApp.exe
** 3112	828	svchost.exe	0x850bb360b080	8	-	0	False	2025-01-27 09:06:47.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s camsvc	C:\Windows\system32\svchost.exe
** 8232	828	svchost.exe	0x850bb47dc240	8	-	0	False	2025-01-27 09:07:22.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p	C:\Windows\System32\svchost.exe
** 3116	828	svchost.exe	0x850bb2c42240	7	-	0	False	2025-01-27 09:06:40.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s LanmanServer	C:\Windows\system32\svchost.exe
** 1584	828	svchost.exe	0x850bb268d300	8	-	0	False	2025-01-27 09:06:37.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp	C:\Windows\system32\svchost.exe
** 2096	828	svchost.exe	0x850bb28312c0	7	-	0	False	2025-01-27 09:06:38.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p	C:\Windows\system32\svchost.exe
** 1592	828	svchost.exe	0x850bb2697240	4	-	0	False	2025-01-27 09:06:37.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s gpsvc	C:\Windows\system32\svchost.exe
** 3136	828	svchost.exe	0x850bb482e080	10	-	0	False	2025-01-27 09:07:46.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc	C:\Windows\system32\svchost.exe
** 2628	828	svchost.exe	0x850bb2a39080	12	-	1	False	2025-01-27 09:06:39.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc	C:\Windows\system32\svchost.exe
** 592	828	svchost.exe	0x850bb1d4f2c0	16	-	0	False	2025-01-27 09:06:36.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS -p	C:\Windows\system32\svchost.exe
** 1628	828	svchost.exe	0x850bb27ac2c0	12	-	0	False	2025-01-27 09:06:38.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p	C:\Windows\System32\svchost.exe
*** 8844	1628	audiodg.exe	0x850bb4c0d300	6	-	0	False	2025-01-27 09:07:28.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\audiodg.exe	C:\Windows\system32\AUDIODG.EXE 0x4e0	C:\Windows\system32\AUDIODG.EXE
** 2140	828	svchost.exe	0x850bb28432c0	10	-	0	False	2025-01-27 09:06:38.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository	C:\Windows\system32\svchost.exe
** 8284	828	svchost.exe	0x850bb4826280	5	-	0	False	2025-01-27 09:07:23.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost	C:\Windows\System32\svchost.exe
** 608	828	svchost.exe	0x850bb1df1240	6	-	0	False	2025-01-27 09:06:36.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM	C:\Windows\system32\svchost.exe
** 1120	828	svchost.exe	0x850bb24902c0	2	-	0	False	2025-01-27 09:06:36.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p	C:\Windows\system32\svchost.exe
** 4192	828	svchost.exe	0x850bb30f02c0	14	-	0	False	2025-01-27 09:06:43.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s CDPSvc	C:\Windows\system32\svchost.exe
** 3192	828	svchost.exe	0x850bb2cba300	11	-	0	False	2025-01-27 09:06:40.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc	C:\Windows\system32\svchost.exe
** 4732	828	svchost.exe	0x850bb3437300	11	-	0	False	2025-01-27 09:06:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc	C:\Windows\System32\svchost.exe
